cDC1,cDC2,pDC,Eos,Mon,Neu,B
0,0,0,0,0,0,188
0,0,0,0,0,0,8935
137,183,121,109,291,220,3745
0,0,0,0,0,0,299
0,0,0,0,0,0,12491
0,0,0,0,0,0,13691
0,2,1,2,5,1,2818
67,103,77,154,544,227,14693
3,8,1,16,16,44,2
7,13,5,0,2,0,0
7,1,3,16,0,10,17
0,0,0,0,6,3,9890
4,24,6,2,0,0,0
40,57,34,34,118,74,2256
0,0,0,1,3,0,2467
26,13,20,13,14,13,201
14,37,6,4,9,14,5
22,18,15,18,7,19,0
57,52,59,48,62,123,10
7,12,14,41,18,28,61
13,2,0,10,87,61,20
7,27,14,27,35,96,0
23,5,13,35,51,29,0
0,0,0,0,0,0,7
0,0,0,0,0,0,3775
0,0,0,0,0,0,6586
16,22,14,9,37,109,1
3,2,3,4,11,6,1848
4,1,0,2,7,17,3902
0,0,0,0,0,0,835
73,68,58,172,917,658,1634
2,6,4,17,104,105,11
1,1,2,0,1,0,1498
23,23,5,26,58,219,0
4,4,10,0,0,0,10019
49,0,3,1,0,0,0
8,2,6,12,78,71,14
29,20,29,23,31,23,0
2,4,1,0,11,15,112
3,0,2,3,7,3,578
16,6,2,1,2,6,4
129,118,46,118,374,759,26
12,14,10,20,40,67,6509
8,11,15,10,10,20,0
6,8,1,0,3,4,2674
1,0,2,0,6,0,0
3,2,7,9,60,29,2861
92,111,48,121,446,525,361
1,0,0,4,8,1,4136
5,18,5,18,43,30,6553
0,0,0,0,0,0,421
11,20,9,2,1,1,0
5,4,5,1,0,0,0
0,0,0,0,0,0,14657
108,51,42,166,581,546,1832
3,23,5,7,14,21,0
15,18,16,8,7,14,22
0,0,0,12,9,2,0
12,28,4,1,42,49,0
38,45,16,56,118,68,5125
13,12,6,10,14,35,0
4,6,2,0,0,0,0
3,2,3,5,1,0,0
8,1,3,22,32,40,54
50,40,56,51,116,280,26
17,12,18,14,15,10,15
0,0,0,0,0,0,7516
38,75,33,23,113,109,4163
13,50,17,11,4,8,0
0,0,0,0,4,0,3243
40,6,11,32,130,70,32
0,0,4,0,0,0,3648
0,2,3,3,7,15,183
37,17,5,7,7,26,0
45,33,27,43,108,161,3223
0,0,0,0,0,0,6191
76,87,67,88,229,165,17174
6,11,7,1,0,0,0
67,48,26,51,95,145,78
0,0,0,0,0,0,1435
4,0,1,0,0,0,0
0,0,0,0,0,0,1742
2,0,1,10,46,24,0
14,18,3,0,2,4,0
19,11,5,10,16,25,3
15,20,8,7,32,3,10733
0,0,0,0,0,0,1400
2,2,0,1,0,1,1038
0,0,0,0,0,0,3222
1,0,0,5,13,2,621
16,34,3,0,0,3,0
67,36,23,21,34,50,157
0,0,0,0,0,0,10323
38,12,10,16,49,158,0
0,0,0,0,0,0,4830
0,2,0,1,4,0,1481
25,24,16,29,47,21,6087
2,0,0,0,0,0,2742
27,19,13,29,44,59,7
5,9,1,18,67,144,38
33,14,22,20,157,136,0
0,0,0,0,0,0,5611
87,135,54,127,394,195,1389
100,128,87,101,144,273,7059
0,0,0,0,0,0,1769
1,2,3,1,5,13,0
70,51,25,119,223,394,459
7,1,0,0,2,4,0
1,0,0,0,1,15,0
3,11,7,15,44,24,2048
7,2,8,25,84,53,1524
68,54,26,30,199,246,29
1,0,0,0,0,1,0
0,0,0,0,0,0,324
0,0,0,0,0,0,5587
0,0,0,0,0,0,9179
5,25,4,1,0,5,0
3,2,2,14,35,14,4
42,80,40,96,218,151,2026
25,23,33,12,4,3,0
17,16,19,18,8,5,29
23,28,17,46,53,44,39
15,27,7,18,79,152,205
0,0,0,0,0,0,1957
6,11,2,6,18,6,6443
4,3,2,5,25,97,0
67,66,16,60,107,226,70
47,48,23,21,86,128,0
0,0,1,0,0,0,11233
0,0,0,0,0,0,19494
59,31,29,58,120,146,1026
2,12,4,7,23,13,2690
9,11,8,15,15,23,48
0,0,0,0,0,0,4230
38,24,35,69,187,76,228
0,0,0,0,0,0,3574
17,44,7,9,0,7,0
0,3,0,0,0,0,3620
0,0,0,0,0,0,15436
0,4,3,16,112,97,0
0,0,0,0,0,0,12303
51,51,24,77,214,123,230
5,7,3,16,75,28,21661
23,50,7,5,0,8,0
22,25,12,50,213,84,50
0,0,0,0,0,0,18761
22,27,6,16,81,85,709
3,0,0,0,0,0,0
16,3,5,2,14,5,0
114,82,60,141,682,1019,25
19,26,2,24,29,54,129
17,17,7,23,138,488,0
7,7,8,6,33,51,132
11,9,2,0,0,3,0
6,4,5,6,4,25,190
0,1,0,1,11,12,9940
10,6,15,16,106,21,228
52,53,56,75,75,131,4041
1,1,8,6,18,2,3653
0,0,0,0,0,0,1659
0,9,0,4,25,14,1168
0,0,0,0,0,0,6171
15,15,7,16,47,56,2675
23,2,4,15,33,7,5503
0,0,0,0,0,0,2034
0,0,0,0,0,0,3220
0,0,0,0,0,0,6456
2,0,0,0,0,1,11702
0,0,0,0,0,0,606
22,11,2,21,112,65,4
0,0,0,0,0,0,6809
38,15,4,12,24,60,26
37,41,14,3,1,7,0
2,1,1,3,1,2,0
85,141,62,100,249,229,11972
14,17,5,22,52,32,1988
