"","cDC1","cDC2","pDC","Eos","Mon","Neu","B","T","MouseID","Group","Mouse","HSPC","Day","barcode","n.cDC1","n.cDC2","n.pDC","n.Eos","n.Mon","n.Neu","n.B","n.T","biomass","filter","p.cDC1","p.cDC2","p.pDC","p.Eos","p.Mon","p.Neu","p.B","p.T","bin","bin_bias","umap1","umap2","fate","umap1d","shannon","simpson","group","norm.biomass"
"272",1972.63115179115,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",407,1.50934846811101,0,0,0,0,0,0,0,1.50934846811101,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-17.9149300747105,10.6947763574236,"cDC1",66.4686212454313,0,0,"True",1.50934846811101
"273",7789.07500507248,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",418,5.95977023694118,0,0,0,0,0,0,0,5.95977023694118,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.971607524366,10.8805526552038,"cDC1",65.8282624991074,0,0,"True",5.95977023694118
"274",867.957706788106,0,0,27326.7229930665,425.396150164841,225.764575925433,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",424,0.664113325968844,0,0,21.1076684501202,0.902777849622461,1.02119916812204,0,0,44.8034272439537,TRUE,0.0280266748048461,0,0,0.890778330154726,0.0380987102998953,0.0430962847405331,0,0,"1-0-0-0-0-1-1-1",4,7.00311570133075,10.3755632494366,"cDC1.Eos.MoNeu",48.647995806325,0.256818012406671,0.101369141968841,"True",11.2008568109884
"275",743.963748675519,2207.57640221239,1280.82667592914,0,115.211457336311,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",443,0.56923999368758,0.329922293310642,0.263289866967697,0,0.24450233427275,0,0,0,1.40695448823867,TRUE,0.404590197086046,0.234493934287571,0.187134601132196,0,0.173781267494186,0,0,0,"1-1-1-0-0-0-1-0",4,-5.57240003518587,5.83279646642005,"cDC1.cDC2.pDC.Mon",7.38153413752427,1.10247804520965,0.625390053238744,"True",0.351738622059667
"276",6706.94591608991,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",445,5.13178479157743,0,0,0,0,0,0,0,5.13178479157743,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-19.1648472891292,9.40743466208799,"cDC1",64.2595462842557,0,0,"True",5.13178479157743
"277",2739.13925648714,15123.9052427933,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",446,2.095838158577,2.26026763853546,0,0,0,0,0,0,4.35610579711246,TRUE,0.481126551142599,0.518873448857401,0,0,0,0,0,0,"1-1-0-0-0-0-0-0",2,-6.76729010353281,11.8184332417736,"cDC1.cDC2",9.81652951658599,0.428461086515267,0.259655242327809,"True",2.17805289855623
"278",631.241968573168,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",485,0.482991509795523,0,0,0,0,0,0,0,0.482991509795523,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.5543798238406,9.97780901775985,"cDC1",65.5506288336901,0,0,"True",0.482991509795523
"279",15927.5875284622,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",525,12.1869107739477,0,0,0,0,0,0,0,12.1869107739477,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-19.3560947704552,10.2492686974277,"cDC1",65.101136356567,0,0,"True",12.1869107739477
"280",2863.13321459972,0,0,0,0,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",558,2.19071149085826,0,0,0,0,0,0,0,2.19071149085826,TRUE,1,0,0,0,0,0,0,0,"1-0-0-0-0-0-0-0",1,-18.7846619458138,11.4798637903476,"cDC1",65.9443614166861,0,0,"True",2.19071149085826
"281",0,0,0,0,691.268744017867,0,0,0,"ProDC_Day9_498","ProDC_Day9",498,"ProDC","Day9",583,0,0,0,0,1.4670140056365,0,0,0,1.4670140056365,TRUE,0,0,0,0,1,0,0,0,"0-0-0-0-0-0-1-0",1,22.1465994823787,15.403664085263,"Mon",45.7670823662992,0,0,"True",1.4670140056365
