cDC1,cDC2,pDC,Eos,Mon,Neu,B
0,0,0,0,0,0,1810
0,0,0,12,0,4,0
0,12,2,8,5,1,750
0,0,0,0,0,0,4991
0,0,0,0,0,0,1385
1,0,9,6,35,8,3895
0,0,0,0,0,0,3066
37,0,0,0,0,4,0
0,0,0,5,30,3,0
12,4,1,14,39,73,0
33,18,16,18,59,168,13
7,11,10,10,18,34,6704
0,0,0,0,0,0,2455
0,3,1,9,2,0,0
0,0,0,6,0,0,0
5,5,0,4,1,5,71
33,54,15,46,93,71,191
16,0,3,2,1,5,0
6,0,0,0,0,1,0
3,48,3,8,9,10,0
0,0,0,0,0,0,1154
0,0,0,0,0,0,541
13,37,8,31,25,79,48
3,0,0,0,1,10,544
0,0,0,0,0,0,3237
2,1,0,8,11,14,0
0,36,3,5,0,8,0
1,20,0,0,4,2,0
69,83,1,1,2,4,0
0,0,0,0,0,0,85
0,23,0,0,4,0,0
0,1,12,0,0,0,0
1,0,2,0,2,9,0
1,149,12,7,23,9,0
10,0,0,9,23,29,0
16,3,3,1,1,15,100
0,4,1,0,0,0,0
0,0,0,0,0,0,1734
1,9,8,0,1,2,696
9,0,0,0,0,4,0
0,0,0,0,0,0,821
18,0,1,0,0,5,0
23,0,0,0,0,5,884
0,0,0,0,0,0,578
0,0,6,0,0,3,181
0,4,2,9,1,2,12
3,4,0,2,4,8,0
0,8,2,0,4,2,0
0,0,0,0,0,0,4265
0,11,2,0,17,2,580
0,0,0,0,0,0,64
57,75,15,48,87,136,62
0,0,0,0,0,0,34
0,27,0,2,2,0,0
12,48,19,21,57,56,2
0,0,0,0,0,0,415
13,4,3,5,15,42,7
1,2,2,4,9,4,1460
37,57,19,17,40,89,3
3,9,7,2,3,8,2000
1,0,6,0,0,0,2
0,0,0,0,0,0,53
0,0,0,0,0,0,990
0,0,0,0,0,0,1822
0,0,0,0,0,0,79
0,0,0,0,0,0,416
0,0,0,0,0,0,4535
0,18,4,2,0,3,8
0,23,12,2,6,4,0
0,0,0,0,0,0,221
0,0,0,0,0,0,642
2,0,0,13,27,5,0
0,8,1,0,1,5,0
10,59,8,44,82,73,0
0,0,0,0,0,0,2477
9,3,1,16,40,16,1857
1,0,0,0,0,6,0
0,0,0,0,0,0,3412
17,153,11,13,54,56,0
0,1,2,1,6,20,6363
0,0,0,0,0,0,2162
2,17,4,6,13,28,105
37,11,12,6,31,95,0
0,0,0,2,0,0,0
0,0,0,0,0,0,265
1,2,0,5,10,5,0
0,0,0,0,0,0,1231
0,0,0,0,0,0,1770
0,0,0,0,0,0,343
0,20,10,0,2,13,0
4,3,10,0,2,16,4185
0,0,0,6,2,0,0
0,0,0,0,0,0,7178
3,8,3,6,7,31,0
11,12,0,10,4,11,0
1,19,0,1,0,1,0
0,0,0,0,0,0,3454
9,0,0,0,0,0,0
0,0,0,0,0,0,1044
0,0,8,0,0,1,141
0,0,0,0,0,0,2786
0,2,0,16,7,2,0
0,5,4,3,7,1,289
1,17,5,2,9,29,0
0,0,0,1,7,5,0
2,14,9,1,1,3,367
6,3,2,3,4,8,5403
5,3,1,0,4,2,2
2,13,4,6,5,11,248
0,0,1,0,0,0,3
4,0,0,9,2,0,87
0,22,1,0,3,0,0
0,0,0,0,0,0,366
43,68,16,90,84,97,96
0,0,0,0,0,0,278
0,113,0,0,0,0,0
23,0,2,3,3,13,0
4,20,25,13,6,29,9091
1,2,0,2,0,1,1
0,0,0,0,3,0,0
0,0,0,0,0,0,1726
3,0,1,0,6,9,0
0,0,0,0,0,0,1681
23,12,7,14,23,31,18
4,0,0,0,0,0,0
16,1,0,1,4,19,0
0,0,0,0,0,0,864
9,0,0,0,0,1,0
62,67,35,49,69,205,440
3,3,6,0,0,6,0
0,30,1,0,1,6,0
0,0,2,2,0,1,0
0,0,0,0,0,0,183
1,0,2,6,6,2,0
0,73,0,0,0,0,0
43,24,11,29,59,134,0
2,12,8,8,6,1,0
0,0,0,0,0,0,124
0,6,9,9,1,0,3
5,2,0,16,14,3,673
0,0,0,4,1,2,122
12,13,20,2,27,28,6166
4,26,3,18,23,40,68
0,0,0,0,0,0,3133
21,43,8,24,44,40,23
7,16,5,13,44,48,142
0,0,0,0,0,0,1347
1,11,1,3,7,2,20
4,8,0,0,0,0,42
10,8,3,19,27,30,0
7,6,4,36,12,28,2
0,0,10,0,2,2,1098
2,1,0,1,14,5,0
24,2,1,5,10,44,0
0,0,0,0,0,0,8793
11,2,0,4,19,8,0
0,0,0,0,0,0,2554
0,4,4,5,16,2,0
0,15,0,12,27,15,63
0,0,0,6,5,1,0
7,0,0,0,0,3,0
11,4,3,1,14,38,0
