cDC1,cDC2,pDC,Eos,Mon,Neu,B
0,0,0,0,0,0,2162
5,4,12,16,34,68,0
12,3,2,4,13,30,14
0,0,4,5,0,0,0
5,14,2,26,15,82,167
0,0,0,0,0,0,4458
13,33,12,0,0,3,0
18,10,8,33,115,208,8
3,1,0,0,0,0,0
40,58,9,42,39,129,62
0,0,0,0,0,0,2827
7,15,5,22,55,20,947
2,0,3,12,2,0,0
0,0,0,0,0,0,2599
0,0,2,1,0,0,0
7,4,7,7,0,0,0
0,0,0,0,0,0,469
0,0,0,0,0,0,1464
3,7,0,5,8,0,0
7,26,2,0,0,1,0
10,15,2,2,5,20,0
4,16,7,2,14,1,829
6,2,9,30,46,10,0
3,19,1,0,0,0,0
0,0,0,0,0,0,215
0,0,0,0,0,0,321
9,25,2,8,2,15,0
0,0,0,2,0,2,17
8,0,10,20,13,9,2
13,15,10,21,28,21,631
0,0,0,0,0,0,973
4,11,1,3,5,7,0
26,14,17,36,77,131,0
4,12,7,9,5,21,0
3,4,4,1,0,8,0
10,35,19,34,56,75,1490
0,0,0,0,0,0,1561
0,0,1,3,13,21,0
38,29,15,20,39,46,226
2,0,0,8,50,58,0
13,9,7,0,13,1,4095
24,22,11,16,59,26,9345
4,3,1,6,1,0,0
0,0,0,1,3,3,1092
0,0,0,0,0,0,184
0,0,0,0,0,0,694
0,0,0,0,0,0,4192
8,6,2,0,3,6,36
0,0,0,0,0,0,3133
3,8,3,2,0,1,0
1,2,1,2,0,0,0
0,0,0,0,0,0,5833
0,0,0,0,0,0,1333
0,0,0,0,0,0,11928
37,46,22,41,84,204,118
24,33,2,1,7,6,0
0,0,0,0,0,0,844
1,0,0,11,16,7,77
0,0,0,0,0,0,2725
39,21,12,71,79,289,1
0,0,0,0,0,0,5054
6,4,2,20,8,16,0
0,0,0,0,0,0,4198
75,127,82,110,206,160,5789
0,0,0,0,5,0,545
0,0,0,3,2,2,0
0,0,0,0,0,0,903
0,0,0,0,0,0,3207
0,0,0,0,7,0,1422
3,2,2,5,9,19,0
1,2,0,0,3,0,3128
12,21,12,1,1,3,0
0,0,0,0,0,0,1150
0,0,0,0,0,0,1104
1,0,2,11,44,84,4
7,0,0,0,0,0,0
25,27,15,37,70,147,38
4,0,0,0,0,0,0
1,0,1,2,1,1,0
4,1,4,5,8,52,0
3,0,0,4,18,26,139
7,3,11,6,8,29,5
3,6,1,9,7,1,1441
4,0,3,21,4,13,0
3,14,10,6,2,5,0
0,1,0,0,0,4,129
0,0,0,0,0,0,3514
0,6,0,0,0,0,0
4,1,1,1,0,5,0
6,0,0,0,0,0,0
0,0,0,1,1,0,546
2,4,7,12,9,19,3524
0,0,0,0,0,0,2095
0,0,0,0,0,0,150
1,9,0,2,3,2,0
5,7,2,6,0,6,0
9,2,3,2,16,23,0
5,2,5,0,0,0,0
0,0,0,0,0,0,221
3,1,0,4,4,5,14
0,0,0,0,0,0,5173
0,0,0,0,0,0,3574
17,32,12,11,22,66,4
0,0,0,0,0,0,5471
3,3,6,14,57,19,15
9,16,6,24,62,39,2511
4,0,3,0,0,0,0
5,7,1,1,0,0,0
1,3,0,2,10,2,1243
0,7,1,5,10,3,699
0,0,0,0,0,0,131
0,0,0,0,0,0,123
29,23,18,56,148,621,0
0,0,0,0,0,0,30
30,58,2,2,0,1,0
0,0,0,0,0,0,494
1,0,0,0,1,10,3195
23,14,3,5,22,6,1168
5,6,1,7,9,0,0
2,0,4,1,0,0,0
11,12,3,10,24,25,7
0,0,0,9,2,4,5119
20,4,5,5,8,0,0
6,0,0,0,0,0,0
22,5,3,25,54,133,137
6,16,2,8,14,75,0
0,0,0,0,0,0,3161
0,0,0,0,0,0,1676
0,0,0,0,0,0,845
2,0,8,8,3,27,0
0,0,0,0,0,0,1536
0,0,0,0,0,0,3698
31,25,13,67,219,665,90
14,10,7,32,209,441,0
11,5,5,17,85,42,3791
4,6,9,8,24,69,0
0,1,4,0,3,4,4097
10,22,5,16,32,96,3
0,0,0,0,0,0,2031
13,2,1,0,0,0,0
9,4,10,16,3,13,25
0,0,0,0,0,2,0
0,3,7,8,12,14,0
14,9,17,11,1,7,0
0,0,0,0,0,0,267
0,0,0,0,0,0,498
0,1,3,5,0,0,0
0,0,0,0,0,0,233
14,5,0,1,3,4,0
14,8,1,11,18,60,68
3,1,1,1,0,0,2382
0,0,0,4,63,20,0
11,6,2,0,0,0,0
10,1,1,1,0,0,0
0,1,2,5,1,0,0
27,39,28,47,60,65,9
11,11,4,12,18,11,41
1,0,0,5,7,3,0
4,1,1,0,0,4,0
0,0,0,0,0,0,183
0,0,0,0,0,0,970
0,0,0,0,0,0,1767
5,0,0,0,0,0,0
0,0,0,0,1,0,1552
16,8,5,11,15,82,0
0,0,0,0,0,0,1009
38,23,17,22,74,180,2
4,1,3,2,17,5,2607
0,5,0,3,15,3,2
0,0,0,0,0,1,523
1,1,6,1,0,5,0
39,27,4,2,6,59,0
1,0,2,2,5,21,0
2,0,1,1,15,11,7
0,0,0,0,0,0,1641
0,0,0,0,0,0,1067
3,0,3,1,8,4,2515
68,89,17,64,126,480,5
0,0,0,0,0,0,1377
0,0,0,0,0,0,2561
11,18,7,28,52,51,2
7,15,2,2,0,5,6
1,2,2,0,0,0,0
7,6,3,7,28,61,0
3,11,5,1,0,3,0
0,0,0,0,0,0,6852
21,16,25,24,13,21,85
0,0,0,1,9,0,2424
0,0,0,0,0,0,2050
3,0,0,0,1,1,5625
3,4,1,3,2,6,0
