"cDC1" "cDC2" "pDC" "Eos" "Mon" "Neu" "B" "T" "MouseID" "Group" "Mouse" "HSPC" "Day" "barcode" "n.cDC1" "n.cDC2" "n.pDC" "n.Eos" "n.Mon" "n.Neu" "n.B" "n.T" "biomass" "filter" "p.cDC1" "p.cDC2" "p.pDC" "p.Eos" "p.Mon" "p.Neu" "p.B" "p.T" "bin" "bin_bias" "umap1" "umap2" "fate" "umap1d" "shannon" "simpson" "group" "norm.biomass"
0 0 0 0 0 34.9462991869161 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 120 0 0 0 0 0 0.233369726230692 0 0 0.233369726230692 TRUE 0 0 0 0 0 1 0 0 "0-0-0-0-0-0-0-1" 1 18.3469824006594 3.00830963632356 "Neu" 37.5654997703761 0 0 "True" 0.233369726230692
0 5492.15931679305 40841.2814869161 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 137 0 2.13266384656114 31.1680711465884 0 0 0 0 0 33.3007349931495 TRUE 0 0.0640425458176783 0.935957454182322 0 0 0 0 0 "0-1-1-0-0-0-0-0" 2 1.45348061377859 16.1876242594443 "cDC2.pDC" 32.3503635484434 0.363996961817273 0.208969727926435 "True" 16.6503674965747
1812.17354226628 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 156 3.51768110009593 0 0 0 0 0 0 0 3.51768110009593 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -18.9638086880458 11.4447165676073 "cDC1" 65.6248470605773 0 0 "True" 3.51768110009593
0 0 0 0 0 524.194487803742 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 178 0 0 0 0 0 3.50054589346039 0 0 3.50054589346039 TRUE 0 0 0 0 0 1 0 0 "0-0-0-0-0-0-0-1" 1 17.942068928583 3.24081590616246 "Neu" 37.3399784781411 0 0 "True" 3.50054589346039
319.795330988168 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 186 0.620767252958108 0 0 0 0 0 0 0 0.620767252958108 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -19.8927662402212 10.6428906958188 "cDC1" 65.2943412567151 0 0 "True" 0.620767252958108
0 0 0 6327.89824142052 0 326.165459077884 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 192 0 0 0 2.75667547411431 0 2.1781174448198 0 0 7.69146839304841 TRUE 0 0 0 0.558620294589735 0 0.441379705410265 0 0 "0-0-0-0-0-1-0-1" 2 -18.4126797929926 -0.542875149174672 "Eos.Neu" -8.8690956278049 0.195612058959131 0.093229540010535 "True" 3.84573419652421
0 5256.57071339174 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 199 0 2.04118228745932 0 0 0 0 0 0 2.04118228745932 TRUE 0 1 0 0 0 0 0 0 "0-1-0-0-0-0-0-0" 1 -7.9216189370685 26.554400612956 "cDC2" 53.5699830640092 0 0 "True" 2.04118228745932
0 0 7101.25630644095 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 201 0 0 5.4193319536317 0 0 0 0 0 5.4193319536317 TRUE 0 0 1 0 0 0 0 0 "0-0-1-0-0-0-0-0" 1 -0.0442124064374738 16.6256214378958 "pDC" 33.0121568837881 0 0 "True" 5.4193319536317
0 7936.39107708165 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 225 0 3.08178502224251 0 0 0 0 0 0 3.08178502224251 TRUE 0 1 0 0 0 0 0 0 "0-1-0-0-0-0-0-0" 1 -6.86548300905821 26.3242765320836 "cDC2" 53.2204329493975 0 0 "True" 3.08178502224251
1431.46481489942 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 230 2.77867246562201 0 0 0 0 0 0 0 2.77867246562201 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -18.1539167353012 13.2437456954742 "cDC1" 65.6256672680245 0 0 "True" 2.77867246562201
211415.170481368 186144.44526246 74436.3830693006 0 0 675.628450947045 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 233 410.386274896066 72.2818668853241 56.8062117282465 0 0 4.51181470712672 0 0 543.986168216764 TRUE 0.754405716309571 0.132874457308852 0.104425838462883 0 0 0.00829398791869444 0 0 "1-1-1-0-0-0-0-1" 4 -8.53816331952194 4.59670700630196 "cDC1.cDC2.pDC.Neu" 4.82509605319562 1.02731320099944 0.620052176232095 "True" 135.996542054191
1431.46481489942 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 237 2.77867246562201 0 0 0 0 0 0 0 2.77867246562201 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -15.8795559193475 11.521186351321 "cDC1" 65.1358831017694 0 0 "True" 2.77867246562201
3685.26048091126 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 240 7.1536035817077 0 0 0 0 0 0 0 7.1536035817077 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -17.6724366689762 12.2361136033919 "cDC1" 65.8688349140124 0 0 "True" 7.1536035817077
1461.92151308877 0 0 34520.6590404644 67309.4939536761 547.492020595019 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 242 2.83779315637993 0 0 15.0385247196624 120.303112566265 3.65612571094751 0 0 156.874080872917 TRUE 0.0200076287874788 0 0 0.106027889814971 0.848187265795864 0.0257772156016862 0 0 "1-0-0-0-0-1-1-1" 4 19.2842196302291 14.8012062603199 "cDC1.Eos.MoNeu" -10.7586847318558 0.734816427769221 0.469084327307223 "True" 39.2185202182293
883.244247491129 8319.22255760877 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 248 1.71450003197953 3.23044255578296 0 0 0 0 0 0 4.94494258776249 TRUE 0.346717884293034 0.653282115706966 0 0 0 0 0 0 "1-1-0-0-0-0-0-0" 2 -8.2682423068212 13.5344317798133 "cDC1.cDC2" 10.1608103671972 0.316157183346558 0.173534183590122 "True" 2.47247129388125
5954.28449601779 0 2364.06619385343 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 253 11.5580950431724 0 1.80413984680851 0 0 0 0 0 13.3622348899809 TRUE 0.864982178380858 0 0.135017821619142 0 0 0 0 0 "1-0-1-0-0-0-0-0" 2 -19.0215399276154 -5.30000655166621 "cDC1.pDC" 2.66168555144451 0.596875431206105 0.406859778569421 "True" 6.68111744499045
0 0 4465.45836616759 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 283 0 0 3.4078197106383 0 0 0 0 0 3.4078197106383 TRUE 0 0 1 0 0 0 0 0 "0-0-1-0-0-0-0-0" 1 1.59089666764926 17.7423653097564 "pDC" 33.7735118610866 0 0 "True" 3.4078197106383
2680.18944066274 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 290 5.20262078669652 0 0 0 0 0 0 0 5.20262078669652 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -17.6926016195012 11.4917815183667 "cDC1" 65.891275291396 0 0 "True" 5.20262078669652
0 5639.40219391887 0 4353.76472596893 1225.11926896413 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 319 0 2.18983982099978 0 1.89666710529281 2.18967121373287 0 0 0 8.17284524531828 TRUE 0 0.348912948635791 0 0.302200967368513 0.348886083995696 0 0 0 "0-1-0-0-0-1-1-0" 3 6.70623492337028 -3.88900884316452 "cDC2.Eos.Mon" -6.41526725423485 0.954912967793323 0.584751176404308 "True" 2.72428174843943
0 0 28196.6975535085 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 324 0 0 21.518342310785 0 0 0 0 0 21.518342310785 TRUE 0 0 1 0 0 0 0 0 "0-0-1-0-0-0-0-0" 1 1.13138768426224 15.6179150534725 "pDC" 32.6026205496662 0 0 "True" 21.518342310785
1873.08693864498 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 334 3.63592248161177 0 0 0 0 0 0 0 3.63592248161177 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -19.0654334542422 11.5306387687955 "cDC1" 65.663658624427 0 0 "True" 3.63592248161177
0 0 0 1952.79153150077 10752.223231144 22971.3673321995 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 335 0 0 0 0.850710981050453 19.217585005232 153.401700042308 0 0 174.320707009641 TRUE 0 0 0 0.00490408140039527 0.110783336860541 0.884312581739064 0 0 "0-0-0-0-0-1-1-1" 3 8.18776569369411 2.31226508232448 "Eos.MoNeu" -6.19691419010506 0.803954614269887 0.491589204161301 "True" 58.106902336547
0 25767.5034970183 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 344 0 10.0057955267614 0 0 0 0 0 0 10.0057955267614 TRUE 0 1 0 0 0 0 0 0 "0-1-0-0-0-0-0-0" 1 -8.18534266013325 26.6143984166133 "cDC2" 53.6509009968578 0 0 "True" 10.0057955267614
0 0 389.482169868572 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 346 0 0 0.297233767865003 0 0 0 0 0 0.297233767865003 TRUE 0 0 1 0 0 0 0 0 "0-0-1-0-0-0-0-0" 1 0.673185294707446 17.6465081144769 "pDC" 32.7432514899432 0 0 "True" 0.297233767865003
0 0 5479.92355280201 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 348 0 0 4.18200998972854 0 0 0 0 0 4.18200998972854 TRUE 0 0 1 0 0 0 0 0 "0-0-1-0-0-0-0-0" 1 1.15531367096452 16.505622663029 "pDC" 32.7477035499756 0 0 "True" 4.18200998972854
0 17197.9680482957 0 0 0 11287.6546373739 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 349 0 6.67815381443276 0 0 0 75.3784215725135 0 0 82.0565753869463 TRUE 0 0.0813847492774495 0 0 0 0.91861525072255 0 0 "0-1-0-0-0-0-0-1" 2 9.09467400662824 0.708003132169004 "cDC2.Neu" -4.26251879341726 0.671465195628848 0.478475176854691 "True" 41.0282876934732
0 0 0 0 1268.35877257462 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 357 0 0 0 0 2.26695372715872 0 0 0 2.26695372715872 TRUE 0 0 0 0 1 0 0 0 "0-0-0-0-0-0-1-0" 1 21.2587891916996 14.9497072018156 "Mon" 46.2221092539603 0 0 "True" 2.26695372715872
0 0 0 0 0 1327.95936910281 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 365 0 0 0 0 0 8.86804959676629 0 0 8.86804959676629 TRUE 0 0 0 0 0 1 0 0 "0-0-0-0-0-0-0-1" 1 17.1128356542549 2.46335545637748 "Neu" 37.5552679469009 0 0 "True" 8.86804959676629
0 0 0 0 0 46.5950655825548 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 374 0 0 0 0 0 0.311159634974256 0 0 0.311159634974256 TRUE 0 0 0 0 0 1 0 0 "0-0-0-0-0-0-0-1" 1 16.5225586718172 2.03181917074557 "Neu" 38.0587644336075 0 0 "True" 0.311159634974256
24213.0750605327 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 376 47.0009491525424 0 0 0 0 0 0 0 47.0009491525424 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -19.1129066151637 12.6562665269177 "cDC1" 65.9645048313583 0 0 "True" 47.0009491525424
0 0 0 0 0 34.9462991869161 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 377 0 0 0 0 0 0.233369726230692 0 0 0.233369726230692 TRUE 0 0 0 0 0 1 0 0 "0-0-0-0-0-0-0-1" 1 18.6766455089044 2.71676296034852 "Neu" 38.0697731720658 0 0 "True" 0.233369726230692
13081.1518723255 28344.2538467202 16693.3869550646 0 0 221.326561517135 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 379 25.3923366805244 11.0063750794375 12.7395775389582 0 0 1.47800826612771 0 0 50.6162975650478 TRUE 0.501663256738451 0.21744725728493 0.251689241446124 0 0 0.0292002445304954 0 0 "1-1-1-0-0-0-0-1" 4 -5.78860424119699 6.25767186864281 "cDC1.cDC2.pDC.Neu" 6.79454185705941 1.06514053611791 0.631789093968355 "True" 12.654074391262
1416.23646580474 8289.77398218361 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 381 2.74911212024304 3.21900736089524 0 0 0 0 0 0 5.96811948113828 TRUE 0.46063288929308 0.53936711070692 0 0 0 0 0 0 "1-1-0-0-0-0-0-0" 2 -6.79026253069641 12.2631141525159 "cDC1.cDC2" 9.91325229307921 0.415554384426418 0.249245283651849 "True" 2.98405974056914
0 0 0 0 893.616407950303 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 384 0 0 0 0 1.59717194413456 0 0 0 1.59717194413456 TRUE 0 0 0 0 1 0 0 0 "0-0-0-0-0-0-1-0" 1 21.6085847656446 14.5619344036538 "Mon" 46.1745424412262 0 0 "True" 1.59717194413456
472.078821934914 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 395 0.916370706747682 0 0 0 0 0 0 0 0.916370706747682 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -17.6538502006844 12.4752684700635 "cDC1" 65.0623981471739 0 0 "True" 0.916370706747682
1477.14986218344 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 407 2.86735350175887 0 0 0 0 0 0 0 2.86735350175887 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -17.1180228024394 10.6475875852884 "cDC1" 65.8768980099074 0 0 "True" 2.86735350175887
5466.9773249882 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 412 10.6121639910457 0 0 0 0 0 0 0 10.6121639910457 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -16.47910465818 12.3876204417968 "cDC1" 64.9559278219991 0 0 "True" 10.6121639910457
0 0 0 12847.8743383985 35917.6143324541 75518.9525429257 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 427 0 0 0 5.59702743816801 64.1960078190859 504.311978384526 0 0 579.702041079948 TRUE 0 0 0 0.00974913527172286 0.111819277473061 0.878431587255216 0 0 "0-0-0-0-0-1-1-1" 3 8.05961994846516 2.66605330638573 "Eos.MoNeu" -6.50918860719004 0.896055599610127 0.536581206194313 "True" 193.234013693316
1675.11840041421 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 428 3.25163799168532 0 0 0 0 0 0 0 3.25163799168532 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -16.8998741013257 11.7590008799041 "cDC1" 64.8744187411934 0 0 "True" 3.25163799168532
0 0 3632.14767714645 0 0 629.03338536449 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 432 0 0 2.77187769567131 0 0 4.20065507215246 0 0 6.97253276782377 TRUE 0 0 0.397542440885001 0 0 0.602457559114999 0 0 "0-0-1-0-0-0-0-1" 2 2.05439515047086 0.963516354207077 "pDC.Neu" 31.8699865047313 0.418557536338527 0.251655955691452 "True" 3.48626638391189
0 4800.1177943017 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 433 0 1.86393676669955 0 0 0 0 0 0 1.86393676669955 TRUE 0 1 0 0 0 0 0 0 "0-1-0-0-0-0-0-0" 1 -6.56454352337262 27.6416664092268 "cDC2" 53.2138154191024 0 0 "True" 1.86393676669955
0 0 0 0 0 69.8925983738322 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 447 0 0 0 0 0 0.466739452461384 0 0 0.466739452461384 TRUE 0 0 0 0 0 1 0 0 "0-0-0-0-0-0-0-1" 1 18.1756711059901 1.39531396086408 "Neu" 37.578849438696 0 0 "True" 0.466739452461384
11390.8051228166 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 449 22.1111383434601 0 0 0 0 0 0 0 22.1111383434601 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -16.862241444507 11.6142885033555 "cDC1" 66.0804132617315 0 0 "True" 22.1111383434601
1233.49627666865 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 459 2.39438797569556 0 0 0 0 0 0 0 2.39438797569556 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -16.5775018759239 11.5980998190587 "cDC1" 64.8350365613204 0 0 "True" 2.39438797569556
2177.65392053847 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 466 4.22712938919091 0 0 0 0 0 0 0 4.22712938919091 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -16.3565835216135 11.2673947114378 "cDC1" 65.7510945545791 0 0 "True" 4.22712938919091
12304.5060684971 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 501 23.8847590661976 0 0 0 0 0 0 0 23.8847590661976 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -18.0810326419611 13.4012521443065 "cDC1" 65.8025217751596 0 0 "True" 23.8847590661976
6167.48138334323 29993.3740705293 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 505 11.9719398784778 11.6467459931502 0 0 0 0 0 0 23.618685871628 TRUE 0.506884250188495 0.493115749811505 0 0 0 0 0 0 "1-1-0-0-0-0-0-0" 2 -6.19502043178089 10.9973940311721 "cDC1.cDC2" 9.54910865193191 0.456768062264011 0.282934413958328 "True" 11.809342935814
0 18626.2239564161 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 551 0 7.23276076648752 0 0 0 0 0 0 7.23276076648752 TRUE 0 1 0 0 0 0 0 0 "0-1-0-0-0-0-0-0" 1 -7.30840472067397 26.79162903326 "cDC2" 53.3477927176362 0 0 "True" 7.23276076648752
1157.35453119527 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 573 2.24658624880076 0 0 0 0 0 0 0 2.24658624880076 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -16.3285271764589 10.2557713026809 "cDC1" 65.8839259500656 0 0 "True" 2.24658624880076
3091.35486621895 23691.3789295443 5434.63492839868 145061.464913778 303339.530995518 687451.948838618 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 643 6.00075011192836 9.19961428717662 4.14744792369772 63.1943446797804 542.162592520259 4590.77146450143 0 0 5278.67055870406 TRUE 0.00115056609706943 0.00176390686289377 0.000795219411133608 0.0121166969393615 0.103952653654598 0.880220957034944 0 0 "1-1-1-0-0-1-1-1" 6 7.92361084618709 2.36537965042662 "cDC1.cDC2.pDC.Eos.MoNeu" -6.24179892730597 1.04093061939661 0.570321532967761 "True" 879.778426450677
0 0 0 1077.77018951682 0 93.1901311651096 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 650 0 0 0 0.469518082437683 0 0.622319269948512 0 0 1.56135543482388 TRUE 0 0 0 0.430025663997992 0 0.569974336002009 0 0 "0-0-0-0-0-1-0-1" 2 -17.0942873447276 0.183159931922492 "Eos.Neu" -9.17741623427027 0.277753066397686 0.146501384253301 "True" 0.78067771741194
5208.09539037873 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 676 10.1096381196035 0 0 0 0 0 0 0 10.1096381196035 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -19.9659623457891 11.0639234210347 "cDC1" 64.8829846493642 0 0 "True" 10.1096381196035
21213.0902888818 12412.5745417065 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 685 41.1775611128878 4.81993464517704 0 0 0 0 0 0 45.9974957580648 TRUE 0.89521310745853 0.10478689254147 0 0 0 0 0 0 "1-1-0-0-0-0-0-0" 2 -10.5760586361591 5.30079472712095 "cDC1.cDC2" 5.01417257551948 0.658496333500547 0.465751268280226 "True" 22.9987478790324
3746.17387728996 0 0 0 0 0 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 701 7.27184496322353 0 0 0 0 0 0 0 7.27184496322353 TRUE 1 0 0 0 0 0 0 0 "1-0-0-0-0-0-0-0" 1 -18.7211201482518 11.8047304553593 "cDC1" 65.7565840057899 0 0 "True" 7.27184496322353
0 0 0 24746.0303909851 0 780.467348507793 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 704 0 0 0 10.7803211205246 0 5.21192388581879 0 0 26.7725661268679 TRUE 0 0 0 0.674096796056372 0 0.325903203943628 0 0 "0-0-0-0-0-1-0-1" 2 -18.6384099663467 -2.53177564645863 "Eos.Neu" -8.78241297146001 0.136734558562109 0.0592799474258263 "True" 13.386283063434
0 0 0 325049.086563087 24833.8882402963 2399.64587750157 0 0 "ProDC_Day9_497" "ProDC_Day9" 497 "ProDC" "Day9" 714 0 0 0 141.603864446873 44.3859235442556 16.0247212011742 0 0 343.618373639177 TRUE 0 0 0 0.700958881681498 0.219716513045127 0.0793246052733757 0 0 "0-0-0-0-0-1-1-1" 3 -13.6308940665777 4.62892391638236 "Eos.MoNeu" -10.2254513378777 0.295188572894902 0.143619811074714 "True" 114.539457879726
