cDC1,cDC2,pDC,Eos,Mon,Neu,B
1,1,4,1,1,0,879
0,0,0,0,1,4,0
0,0,0,0,0,0,12
0,0,0,1,0,0,112
11,1,5,0,0,0,0
0,0,0,0,0,0,132
0,0,0,0,0,0,407
0,0,2,1,3,0,470
0,0,0,0,0,0,416
5,9,0,0,0,12,0
0,0,0,0,0,0,1453
0,0,0,0,2,0,1731
4,0,0,5,25,10,3
2,1,0,1,5,38,1
0,0,0,0,0,0,236
0,0,0,0,0,0,492
0,0,0,0,0,0,192
0,0,0,0,0,0,1199
1,1,1,6,34,94,0
0,0,0,0,0,0,190
0,0,0,0,0,0,305
1,2,0,2,4,3,2665
0,0,0,0,0,0,1700
0,0,0,1,10,12,0
6,1,2,2,0,0,0
0,0,0,0,0,0,1143
0,8,3,3,0,0,0
0,2,1,2,45,8,0
0,1,0,0,0,0,0
0,0,0,0,0,0,1610
1,0,3,0,0,0,289
6,0,3,7,0,12,0
1,2,0,0,10,25,0
0,0,0,0,0,0,309
0,0,0,0,0,0,285
4,5,5,6,9,0,660
0,0,0,3,11,9,0
1,0,1,1,0,0,0
1,0,0,5,0,0,0
2,12,0,0,0,0,231
0,0,0,0,0,0,547
10,18,10,12,17,27,6
0,0,1,2,6,0,0
10,0,1,2,20,74,0
0,0,0,0,7,10,500
1,0,2,5,32,3,0
0,0,0,0,0,0,1155
0,0,0,0,0,0,773
3,26,1,0,0,1,0
6,0,3,0,0,0,0
1,2,0,1,4,38,2
0,0,0,0,0,0,1445
0,4,2,2,0,0,0
1,4,0,0,0,0,0
2,0,0,0,0,0,0
4,0,0,0,0,0,0
4,0,1,0,0,0,0
5,16,3,1,0,0,0
4,0,0,0,0,5,374
0,0,0,0,0,0,686
0,0,0,0,0,0,618
0,0,0,0,0,0,87
0,0,0,0,0,0,126
0,0,0,0,0,0,565
0,0,0,0,0,0,1362
1,0,0,5,3,9,0
2,1,4,1,0,0,0
0,0,0,0,0,0,625
4,3,0,0,4,1,0
2,0,0,2,20,16,0
14,20,6,0,0,3,0
0,0,0,0,0,0,257
0,0,0,0,0,0,133
0,0,0,0,0,0,14
0,0,0,0,0,0,536
0,3,0,1,3,17,432
6,1,4,7,25,59,36
7,7,4,18,15,79,2
0,0,0,0,0,0,522
3,3,1,7,55,29,16
1,0,0,4,46,8,24
0,0,0,3,0,1,0
14,14,3,0,0,0,4
0,0,0,0,0,0,5120
0,0,0,0,0,0,270
4,5,4,1,0,2,0
3,13,1,4,16,12,0
0,0,0,0,0,0,1120
0,0,0,0,0,0,140
0,0,2,0,18,1,62
14,4,0,0,0,0,0
0,7,1,1,1,5,0
24,5,2,6,14,43,656
0,0,0,1,0,0,0
0,0,0,0,0,0,294
0,0,0,0,0,0,108
1,22,2,0,0,0,0
2,11,0,5,9,38,0
0,0,0,7,23,0,0
0,0,0,0,0,0,2
0,0,3,1,0,0,0
0,0,4,0,0,0,0
0,0,0,0,2,2,544
5,2,0,1,19,55,0
1,4,7,0,11,0,384
5,9,4,11,31,36,1
0,0,0,0,10,2,0
4,0,1,1,0,0,0
2,1,0,5,1,4,0
37,30,9,0,0,1,0
9,0,0,3,49,92,0
